Lon,Lat,Est,Tmax,Fecha
-103.61,19.25,"Buenavista, Col.",31.0,2013-01-01
-103.73,18.76,"Cerro de Ortega, Col.",33.0,2013-01-01
-103.63,18.83,"Callejones, Col.",34.7,2013-01-01
-103.8,19.21,"Coquimatlán, Col.",31.8,2013-01-01
-103.6,19.32,"Cuauhtémoc, Col.",26.7,2013-01-01
-103.88,19.11,"Presa derivadora Jala, Col.",32.4,2013-01-01
-103.77,18.81,"Laguna de Amela, Col.",31.8,2013-01-01
-103.73,19.22,"La Posta, Col.",31.6,2013-01-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",27.5,2013-01-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",29.1,2013-01-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",30.4,2013-01-01
-103.81,19.33,"Peñitas, Col.",31.9,2013-01-01
-104.1,18.94,"Radar, Col.",31.6,2013-01-01
-103.87,18.91,"Tecomán, Col.",34.3,2013-01-01
-103.61,19.25,"Buenavista, Col.",32.4,2013-02-01
-103.73,18.76,"Cerro de Ortega, Col.",32.1,2013-02-01
-103.63,18.83,"Callejones, Col.",35.4,2013-02-01
-103.8,19.21,"Coquimatlán, Col.",32.0,2013-02-01
-103.6,19.32,"Cuauhtémoc, Col.",29.9,2013-02-01
-103.88,19.11,"Presa derivadora Jala, Col.",31.9,2013-02-01
-103.77,18.81,"Laguna de Amela, Col.",30.7,2013-02-01
-103.73,19.22,"La Posta, Col.",32.7,2013-02-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",29.2,2013-02-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",27.9,2013-02-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",29.6,2013-02-01
-103.81,19.33,"Peñitas, Col.",33.2,2013-02-01
-104.1,18.94,"Radar, Col.",30.8,2013-02-01
-103.87,18.91,"Tecomán, Col.",34.3,2013-02-01
-103.61,19.25,"Buenavista, Col.",33.8,2013-03-01
-103.73,18.76,"Cerro de Ortega, Col.",33.0,2013-03-01
-103.63,18.83,"Callejones, Col.",36.3,2013-03-01
-103.8,19.21,"Coquimatlán, Col.",33.3,2013-03-01
-103.6,19.32,"Cuauhtémoc, Col.",32.3,2013-03-01
-103.88,19.11,"Presa derivadora Jala, Col.",32.9,2013-03-01
-103.77,18.81,"Laguna de Amela, Col.",31.1,2013-03-01
-103.73,19.22,"La Posta, Col.",33.9,2013-03-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",29.4,2013-03-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",27.8,2013-03-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",31.0,2013-03-01
-103.81,19.33,"Peñitas, Col.",34.7,2013-03-01
-104.1,18.94,"Radar, Col.",30.9,2013-03-01
-103.87,18.91,"Tecomán, Col.",34.1,2013-03-01
-103.61,19.25,"Buenavista, Col.",34.0,2013-04-01
-103.73,18.76,"Cerro de Ortega, Col.",31.7,2013-04-01
-103.63,18.83,"Callejones, Col.",36.0,2013-04-01
-103.8,19.21,"Coquimatlán, Col.",32.9,2013-04-01
-103.6,19.32,"Cuauhtémoc, Col.",32.3,2013-04-01
-103.88,19.11,"Presa derivadora Jala, Col.",32.6,2013-04-01
-103.77,18.81,"Laguna de Amela, Col.",31.1,2013-04-01
-103.73,19.22,"La Posta, Col.",34.4,2013-04-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",30.0,2013-04-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",26.9,2013-04-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",30.5,2013-04-01
-103.81,19.33,"Peñitas, Col.",34.9,2013-04-01
-104.1,18.94,"Radar, Col.",29.7,2013-04-01
-103.87,18.91,"Tecomán, Col.",34.1,2013-04-01
-103.61,19.25,"Buenavista, Col.",34.2,2013-05-01
-103.73,18.76,"Cerro de Ortega, Col.",32.4,2013-05-01
-103.63,18.83,"Callejones, Col.",36.8,2013-05-01
-103.8,19.21,"Coquimatlán, Col.",33.1,2013-05-01
-103.6,19.32,"Cuauhtémoc, Col.",32.3,2013-05-01
-103.88,19.11,"Presa derivadora Jala, Col.",32.9,2013-05-01
-103.77,18.81,"Laguna de Amela, Col.",31.4,2013-05-01
-103.73,19.22,"La Posta, Col.",34.5,2013-05-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",30.0,2013-05-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",28.1,2013-05-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",31.5,2013-05-01
-103.81,19.33,"Peñitas, Col.",34.7,2013-05-01
-104.1,18.94,"Radar, Col.",30.7,2013-05-01
-103.87,18.91,"Tecomán, Col.",33.9,2013-05-01
-103.61,19.25,"Buenavista, Col.",33.9,2013-06-01
-103.73,18.76,"Cerro de Ortega, Col.",33.4,2013-06-01
-103.63,18.83,"Callejones, Col.",37.4,2013-06-01
-103.8,19.21,"Coquimatlán, Col.",33.6,2013-06-01
-103.6,19.32,"Cuauhtémoc, Col.",32.9,2013-06-01
-103.88,19.11,"Presa derivadora Jala, Col.",34.0,2013-06-01
-103.77,18.81,"Laguna de Amela, Col.",32.0,2013-06-01
-103.73,19.22,"La Posta, Col.",34.4,2013-06-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",29.9,2013-06-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",30.8,2013-06-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",31.0,2013-06-01
-103.81,19.33,"Peñitas, Col.",35.1,2013-06-01
-104.1,18.94,"Radar, Col.",32.7,2013-06-01
-103.87,18.91,"Tecomán, Col.",35.0,2013-06-01
-103.61,19.25,"Buenavista, Col.",31.6,2013-07-01
-103.73,18.76,"Cerro de Ortega, Col.",34.5,2013-07-01
-103.63,18.83,"Callejones, Col.",36.0,2013-07-01
-103.8,19.21,"Coquimatlán, Col.",33.0,2013-07-01
-103.6,19.32,"Cuauhtémoc, Col.",30.1,2013-07-01
-103.88,19.11,"Presa derivadora Jala, Col.",33.4,2013-07-01
-103.77,18.81,"Laguna de Amela, Col.",32.1,2013-07-01
-103.73,19.22,"La Posta, Col.",33.1,2013-07-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",28.2,2013-07-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",32.0,2013-07-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",32.7,2013-07-01
-103.81,19.33,"Peñitas, Col.",33.7,2013-07-01
-104.1,18.94,"Radar, Col.",33.4,2013-07-01
-103.87,18.91,"Tecomán, Col.",35.1,2013-07-01
-103.61,19.25,"Buenavista, Col.",30.9,2013-08-01
-103.63,18.83,"Callejones, Col.",35.8,2013-08-01
-103.8,19.21,"Coquimatlán, Col.",32.9,2013-08-01
-103.6,19.32,"Cuauhtémoc, Col.",29.8,2013-08-01
-103.88,19.11,"Presa derivadora Jala, Col.",33.4,2013-08-01
-103.77,18.81,"Laguna de Amela, Col.",32.7,2013-08-01
-103.73,19.22,"La Posta, Col.",33.0,2013-08-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",28.2,2013-08-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",31.9,2013-08-01
