Lon,Lat,Est,Tmed,Fecha
-103.61,19.25,"Buenavista, Col.",23.2,2013-01-01
-103.73,18.76,"Cerro de Ortega, Col.",25.6,2013-01-01
-103.63,18.83,"Callejones, Col.",26.8,2013-01-01
-103.8,19.21,"Coquimatlán, Col.",25.2,2013-01-01
-103.6,19.32,"Cuauhtémoc, Col.",21.2,2013-01-01
-103.88,19.11,"Presa derivadora Jala, Col.",25.6,2013-01-01
-103.77,18.81,"Laguna de Amela, Col.",25.0,2013-01-01
-103.73,19.22,"La Posta, Col.",24.6,2013-01-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",23.5,2013-01-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",24.6,2013-01-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",26.1,2013-01-01
-103.81,19.33,"Peñitas, Col.",25.3,2013-01-01
-104.1,18.94,"Radar, Col.",26.0,2013-01-01
-103.87,18.91,"Tecomán, Col.",26.6,2013-01-01
-103.61,19.25,"Buenavista, Col.",23.2,2013-02-01
-103.73,18.76,"Cerro de Ortega, Col.",24.3,2013-02-01
-103.63,18.83,"Callejones, Col.",25.8,2013-02-01
-103.8,19.21,"Coquimatlán, Col.",24.3,2013-02-01
-103.6,19.32,"Cuauhtémoc, Col.",22.2,2013-02-01
-103.88,19.11,"Presa derivadora Jala, Col.",24.2,2013-02-01
-103.77,18.81,"Laguna de Amela, Col.",23.7,2013-02-01
-103.73,19.22,"La Posta, Col.",24.4,2013-02-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",23.9,2013-02-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",23.5,2013-02-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",25.1,2013-02-01
-103.81,19.33,"Peñitas, Col.",25.2,2013-02-01
-104.1,18.94,"Radar, Col.",24.9,2013-02-01
-103.87,18.91,"Tecomán, Col.",25.8,2013-02-01
-103.61,19.25,"Buenavista, Col.",24.3,2013-03-01
-103.73,18.76,"Cerro de Ortega, Col.",25.1,2013-03-01
-103.63,18.83,"Callejones, Col.",26.5,2013-03-01
-103.8,19.21,"Coquimatlán, Col.",25.0,2013-03-01
-103.6,19.32,"Cuauhtémoc, Col.",23.8,2013-03-01
-103.88,19.11,"Presa derivadora Jala, Col.",24.8,2013-03-01
-103.77,18.81,"Laguna de Amela, Col.",24.2,2013-03-01
-103.73,19.22,"La Posta, Col.",25.4,2013-03-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",24.6,2013-03-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",23.5,2013-03-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",25.9,2013-03-01
-103.81,19.33,"Peñitas, Col.",26.3,2013-03-01
-104.1,18.94,"Radar, Col.",24.7,2013-03-01
-103.87,18.91,"Tecomán, Col.",25.8,2013-03-01
-103.61,19.25,"Buenavista, Col.",24.3,2013-04-01
-103.73,18.76,"Cerro de Ortega, Col.",24.5,2013-04-01
-103.63,18.83,"Callejones, Col.",26.4,2013-04-01
-103.8,19.21,"Coquimatlán, Col.",25.3,2013-04-01
-103.6,19.32,"Cuauhtémoc, Col.",23.9,2013-04-01
-103.88,19.11,"Presa derivadora Jala, Col.",24.6,2013-04-01
-103.77,18.81,"Laguna de Amela, Col.",24.2,2013-04-01
-103.73,19.22,"La Posta, Col.",25.8,2013-04-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",25.2,2013-04-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",22.7,2013-04-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",25.4,2013-04-01
-103.81,19.33,"Peñitas, Col.",26.4,2013-04-01
-104.1,18.94,"Radar, Col.",24.2,2013-04-01
-103.87,18.91,"Tecomán, Col.",26.0,2013-04-01
-103.61,19.25,"Buenavista, Col.",25.6,2013-05-01
-103.73,18.76,"Cerro de Ortega, Col.",26.0,2013-05-01
-103.63,18.83,"Callejones, Col.",28.0,2013-05-01
-103.8,19.21,"Coquimatlán, Col.",26.3,2013-05-01
-103.6,19.32,"Cuauhtémoc, Col.",24.8,2013-05-01
-103.88,19.11,"Presa derivadora Jala, Col.",25.8,2013-05-01
-103.77,18.81,"Laguna de Amela, Col.",25.5,2013-05-01
-103.73,19.22,"La Posta, Col.",26.7,2013-05-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",25.4,2013-05-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",24.4,2013-05-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",26.9,2013-05-01
-103.81,19.33,"Peñitas, Col.",27.0,2013-05-01
-104.1,18.94,"Radar, Col.",25.8,2013-05-01
-103.87,18.91,"Tecomán, Col.",27.0,2013-05-01
-103.61,19.25,"Buenavista, Col.",27.1,2013-06-01
-103.73,18.76,"Cerro de Ortega, Col.",28.4,2013-06-01
-103.63,18.83,"Callejones, Col.",30.3,2013-06-01
-103.8,19.21,"Coquimatlán, Col.",28.4,2013-06-01
-103.6,19.32,"Cuauhtémoc, Col.",25.8,2013-06-01
-103.88,19.11,"Presa derivadora Jala, Col.",28.7,2013-06-01
-103.77,18.81,"Laguna de Amela, Col.",27.4,2013-06-01
-103.73,19.22,"La Posta, Col.",28.4,2013-06-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",25.7,2013-06-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",27.4,2013-06-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",25.9,2013-06-01
-103.81,19.33,"Peñitas, Col.",28.9,2013-06-01
-104.1,18.94,"Radar, Col.",28.6,2013-06-01
-103.87,18.91,"Tecomán, Col.",29.4,2013-06-01
-103.61,19.25,"Buenavista, Col.",25.7,2013-07-01
-103.73,18.76,"Cerro de Ortega, Col.",29.1,2013-07-01
-103.63,18.83,"Callejones, Col.",29.4,2013-07-01
-103.8,19.21,"Coquimatlán, Col.",27.9,2013-07-01
-103.6,19.32,"Cuauhtémoc, Col.",24.2,2013-07-01
-103.88,19.11,"Presa derivadora Jala, Col.",28.3,2013-07-01
-103.77,18.81,"Laguna de Amela, Col.",27.7,2013-07-01
-103.73,19.22,"La Posta, Col.",27.4,2013-07-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",24.7,2013-07-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",28.3,2013-07-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",29.2,2013-07-01
-103.81,19.33,"Peñitas, Col.",27.9,2013-07-01
-104.1,18.94,"Radar, Col.",29.1,2013-07-01
-103.87,18.91,"Tecomán, Col.",29.3,2013-07-01
-103.61,19.25,"Buenavista, Col.",25.0,2013-08-01
-103.63,18.83,"Callejones, Col.",29.2,2013-08-01
-103.8,19.21,"Coquimatlán, Col.",27.7,2013-08-01
-103.6,19.32,"Cuauhtémoc, Col.",23.9,2013-08-01
-103.88,19.11,"Presa derivadora Jala, Col.",28.2,2013-08-01
-103.77,18.81,"Laguna de Amela, Col.",27.5,2013-08-01
-103.73,19.22,"La Posta, Col.",27.3,2013-08-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",24.8,2013-08-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",28.1,2013-08-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",29.1,2013-08-01
-103.81,19.33,"Peñitas, Col.",27.1,2013-08-01
-104.1,18.94,"Radar, Col.",28.8,2013-08-01
-103.87,18.91,"Tecomán, Col.",29.3,2013-08-01
-103.61,19.25,"Buenavista, Col.",24.0,2013-09-01
-103.73,18.76,"Cerro de Ortega, Col.",28.4,2013-09-01
-103.63,18.83,"Callejones, Col.",28.2,2013-09-01
-103.8,19.21,"Coquimatlán, Col.",26.0,2013-09-01
-103.6,19.32,"Cuauhtémoc, Col.",22.7,2013-09-01
-103.88,19.11,"Presa derivadora Jala, Col.",27.1,2013-09-01
-103.77,18.81,"Laguna de Amela, Col.",26.6,2013-09-01
-103.73,19.22,"La Posta, Col.",25.9,2013-09-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",23.7,2013-09-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",28.1,2013-09-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",28.3,2013-09-01
-103.81,19.33,"Peñitas, Col.",26.1,2013-09-01
-104.1,18.94,"Radar, Col.",28.3,2013-09-01
-103.87,18.91,"Tecomán, Col.",28.2,2013-09-01
-103.61,19.25,"Buenavista, Col.",25.0,2013-10-01
-103.73,18.76,"Cerro de Ortega, Col.",29.6,2013-10-01
-103.63,18.83,"Callejones, Col.",29.0,2013-10-01
-103.8,19.21,"Coquimatlán, Col.",27.8,2013-10-01
-103.6,19.32,"Cuauhtémoc, Col.",23.8,2013-10-01
-103.88,19.11,"Presa derivadora Jala, Col.",28.3,2013-10-01
-103.77,18.81,"Laguna de Amela, Col.",27.5,2013-10-01
-103.73,19.22,"La Posta, Col.",27.2,2013-10-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",24.6,2013-10-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",28.6,2013-10-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",29.2,2013-10-01
-103.81,19.33,"Peñitas, Col.",27.0,2013-10-01
-104.1,18.94,"Radar, Col.",29.5,2013-10-01
-103.87,18.91,"Tecomán, Col.",29.7,2013-10-01
-103.61,19.24,BUENAVISTA,24.1,2013-11-01
-103.63,18.81,CALLEJONES,28.4,2013-11-01
-103.72,18.75,CERRO DE ORTEGA,28.1,2013-11-01
-103.72,19.24,COLIMA,26.0,2013-11-01
-103.8,19.21,COQUIMATLAN,26.9,2013-11-01
-103.88,19.11,DERIVADORA JALA,27.4,2013-11-01
-114.73,18.34,ISLA SOCORRO SEMAR,26.1,2013-11-01
-103.72,19.22,LA POSTA,26.2,2013-11-01
-103.86,18.9,LAGUNA DE AMELA,26.4,2013-11-01
-104.33,19.07,MANZANILLO,28.1,2013-11-01
-104.31,19.04,MANZANILLO,28.2,2013-11-01
-104.3,19.07,MANZANILLO SEMAR,27.2,2013-11-01
-103.81,19.26,PE¤ITAS,26.3,2013-11-01
-103.72,19.22,RADAR,28.4,2013-11-01
-103.39,18.96,TROJES,25.6,2013-11-01
-103.73,19.23,OBSERVATORIO COLIMA,26.0,2013-11-01
-103.73,19.23,COLIMA (AUTOMATICA),26.2,2013-11-01
-103.61,19.25,"Buenavista, Col.",23.6,2013-12-01
-103.73,18.76,"Cerro de Ortega, Col.",26.3,2013-12-01
-103.63,18.83,"Callejones, Col.",27.6,2013-12-01
-103.8,19.21,"Coquimatlán, Col.",25.7,2013-12-01
-103.6,19.32,"Cuauhtémoc, Col.",23.5,2013-12-01
-103.88,19.11,"Presa derivadora Jala, Col.",26.3,2013-12-01
-103.77,18.81,"Laguna de Amela, Col.",25.5,2013-12-01
-103.73,19.22,"La Posta, Col.",24.8,2013-12-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",23.3,2013-12-01
