Lon,Lat,Est,Tmin,Fecha
-103.61,19.25,"Buenavista, Col.",15.4,2013-01-01
-103.73,18.76,"Cerro de Ortega, Col.",18.2,2013-01-01
-103.63,18.83,"Callejones, Col.",18.9,2013-01-01
-103.8,19.21,"Coquimatlán, Col.",18.5,2013-01-01
-103.6,19.32,"Cuauhtémoc, Col.",15.6,2013-01-01
-103.88,19.11,"Presa derivadora Jala, Col.",18.9,2013-01-01
-103.77,18.81,"Laguna de Amela, Col.",18.2,2013-01-01
-103.73,19.22,"La Posta, Col.",17.5,2013-01-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",19.5,2013-01-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",20.2,2013-01-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",21.8,2013-01-01
-103.81,19.33,"Peñitas, Col.",18.7,2013-01-01
-104.1,18.94,"Radar, Col.",20.5,2013-01-01
-103.87,18.91,"Tecomán, Col.",18.9,2013-01-01
-103.61,19.25,"Buenavista, Col.",14.0,2013-02-01
-103.73,18.76,"Cerro de Ortega, Col.",16.5,2013-02-01
-103.63,18.83,"Callejones, Col.",16.2,2013-02-01
-103.8,19.21,"Coquimatlán, Col.",16.7,2013-02-01
-103.6,19.32,"Cuauhtémoc, Col.",14.4,2013-02-01
-103.88,19.11,"Presa derivadora Jala, Col.",16.6,2013-02-01
-103.77,18.81,"Laguna de Amela, Col.",16.6,2013-02-01
-103.73,19.22,"La Posta, Col.",16.1,2013-02-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",18.7,2013-02-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",19.1,2013-02-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",20.6,2013-02-01
-103.81,19.33,"Peñitas, Col.",17.2,2013-02-01
-104.1,18.94,"Radar, Col.",19.0,2013-02-01
-103.87,18.91,"Tecomán, Col.",17.4,2013-02-01
-103.61,19.25,"Buenavista, Col.",14.8,2013-03-01
-103.73,18.76,"Cerro de Ortega, Col.",17.2,2013-03-01
-103.63,18.83,"Callejones, Col.",16.7,2013-03-01
-103.8,19.21,"Coquimatlán, Col.",16.8,2013-03-01
-103.6,19.32,"Cuauhtémoc, Col.",15.3,2013-03-01
-103.88,19.11,"Presa derivadora Jala, Col.",16.6,2013-03-01
-103.77,18.81,"Laguna de Amela, Col.",17.2,2013-03-01
-103.73,19.22,"La Posta, Col.",16.9,2013-03-01
-103.58,19.28,"Aeropuerto Nacional de Colima, Col.*",19.8,2013-03-01
-104.56,19.15,"Aeropuerto Internacional de Manzanillo-Costalegre, Col.*",19.3,2013-03-01
-104.32,19.04,"Observatorio de Manzanillo, Col.",20.8,2013-03-01
